TC_Id,MicroserviceName,ApiName,Method,Description,Keywords,LoopCount,Service_Type,Start_Date,End_Date,port,Alternate_No,dob,email,fdn1,fdn2,fdn3,fdn4,fdn5,firstName_1,lastName_1,lastRecharge,mmn,MSISDN,smsBodys,newSimSerial,placeofBirth,reasonForSwap,bundleType_1,charge,Subcriber_Number,amount,currency_Code,subscriberType,Sim_Serial_Number,Voucher_Number,Card_Pin_No.,Currency_Type,loggedInNumber,emailId,mailBody,mailSubject,receiverID,senderID,backUrl,mpin,paymentMobile,paymentMode,redirectUrl,transactionType,transactionId,fromDate,n,toDate,companyRef,country,paymentAmount,redirectURL,serviceDescription,txRef,refTxnId,refTxnId,refTransactionId,transactionToken,transactionReference,,bestOffer,bundle,bundleType,bundleUnit,chargePID,countryCode,currencyCode,description,duration,durationUnit,extraBundle,newProductCode,nonChargePID,productCode,serviceType,type,smsCount,validity,valueReceived,planType,TONE_ID,query,auuid,password_1,dateOfBirth,documentId,givenNames,nationalId,surname,action,accessTokenValidity,additionalInformation,authorities,authorizedGrantTypes,autoapprove,clientSecret,refreshTokenValidity,resourceIds,scope,Authorization,webServerRedirectUri,emailBody,expireInMS,isEmail,isSMS,mobileNumber,otpLength,refTransaction,otp,otpId,accountNonExpired,accountNonLocked,active,alternateMsisdn,blocked,createdBy,createdOn,credentialsNonExpired,deviceId,emailVerified,enabled,firstName,gender,lastLogin,lastName,middleName,msisdnVerified,id,newUserName,password,passwordModified,role,username,field,value,currentPassword,newPassword,simSerial,simSerial_1_4,updatedBy,updatedOn,category,isBestOffer,lineType,path,API_Path,Endpoint,Content-Type,ASP-OPCO,ASP-Locale,Response_Code,Expected_Param,Changes ,TCType
TC001,Subscriber Profile,Customer_profile,GET,Get Customer Profile with valid msisdn_10 digits of Nigeria No.,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,8026202009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/customer-profile,172.24.6.215,application/json,NG,en-US,200,msisdn;customerName;firstName;lastName;customerType;tariffProfile;lineType;status;customerAccountNumber;billCycleName;serviceCategory;activationDate;customerAddress;addressLine1;city;country;simSerialNumber,,Positive
TC002,Subscriber Profile,Customer_profile,GET,Get Customer Profile with invalid msisdn- 10 digits of Nigeria No.,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/customer-profile,172.24.6.215,application/json,NG,en-US,502,status;error;message,,Negative
TC003,Subscriber Profile,Customer_profile,GET,Get Customer Profile with other OPCO MSISDN Number,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,7060340370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/customer-profile,172.24.6.215,application/json,NG,en-US,502,status;error;message,,Negative
TC004,Subscriber Profile,Customer_profile,GET,Get Customer profile with empty MSISDN ,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/customer-profile,172.24.6.215,application/json,NG,en-US,400,status;error;message,,Negative
TC005,Subscriber Profile,Customer_profile,GET,Get Customer profile with 9 digit MSISDN ,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,802620200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/customer-profile,172.24.6.215,application/json,NG,en-US,400,status;error;message,,Negative
TC006,Subscriber Profile,PUK_Detail,GET,Get PUK  Details with valid MSISDN No. of NG,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,8026202009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/puk-details,172.24.6.215,application/json,NG,en-US,200,subscriberNo;simNo;puk1;puk2;activationDate,,Positive
TC007,Subscriber Profile,PUK_Detail,GET,Get PUK Details with invalid MSISDN No,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,8012342009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/puk-details,172.24.6.215,application/json,NG,en-US,500,status;error;message,,Negative
TC008,Subscriber Profile,PUK_Detail,GET,Get PUK Detail with other OPCO MSISDN Number,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,7060340370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/puk-details,172.24.6.215,application/json,NG,en-US,500,status;error;message,,Negative
TC009,Subscriber Profile,PUK_Detail,GET,Get PUK Detail with blank MSISDN Number,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/puk-details,172.24.6.215,application/json,NG,en-US,400,status;error;message,,Negative
TC010,Subscriber Profile,PUK_Detail,GET,Get PUK details with 9 digit MSISDN ,Customer_profile;Validate_Response;Result,1,,,,30002,,,,,,,,,,,,,802620200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/subscriber-profile/v1/puk-details,172.24.6.215,application/json,NG,en-US,400,status;error;message,,Negative
